timestamp,elapsed_since_last_action,average_intensity,action_duration,max_intensity
5.05,0,0,0,0
10.08,0,0,0,0
15.09,0,0,0,0
20.11,0,0,0,0
25.12,0,0,0,0
30.14,0,0,0,0
35.15,0,0,0,0
40.17,0,0,0,0
45.19,0,0,0,0
50.22,0,0,0,0
55.24,0,0,0,0
60.27,0,0,0,0
65.3,0,0,0,0
70.31,0,0,0,0
75.34,0,0,0,0
80.35,0,0,0,0
85.37,0,0,0,0
90.38,0,0,0,0
95.41,0,0,0,0
100.42,10.040000000000006,65.00401607926658,10.040000000000006,66.96975159060467
105.44,0,0,0,0
110.47,0,0,0,0
115.5,0,0,0,0
120.53,15.090000000000003,62.889586603872395,15.090000000000003,62.889586603872395
125.54,0,0,0,0
130.57,0,0,0,0
135.59,0,0,0,0
140.6,0,0,0,0
145.61,0,0,0,0
150.63,0,0,0,0
155.64,0,0,0,0
160.66,0,0,0,0
165.66,0,0,0,0
170.68,0,0,0,0
175.69,0,0,0,0
180.71,0,0,0,0
185.73,0,0,0,0
190.74,0,0,0,0
195.75,0,0,0,0
200.77,0,0,0,0
205.79,0,0,0,0
210.8,0,0,0,0
215.82,0,0,0,0
220.86,0,0,0,0
225.87,0,0,0,0
230.88,0,0,0,0
235.89,0,0,0,0
240.93,0,0,0,0
245.94,0,0,0,0
250.94,0,0,0,0
255.96,0,0,0,0
260.98,0,0,0,0
266.0,0,0,0,0
271.05,0,0,0,0
276.06,0,0,0,0
281.07,0,0,0,0
286.08,0,0,0,0
291.11,0,0,0,0
296.12,0,0,0,0
301.15,0,0,0,0
306.17,0,0,0,0
311.18,0,0,0,0
316.2,0,0,0,0
321.22,0,0,0,0
326.23,0,0,0,0
331.24,0,0,0,0
336.25,0,0,0,0
341.28,0,0,0,0
346.3,0,0,0,0
351.32,0,0,0,0
356.33,0,0,0,0
361.36,0,0,0,0
366.38,0,0,0,0
371.38,0,0,0,0
376.4,0,0,0,0
381.42,0,0,0,0
391.44,0,0,0,0
396.46,0,0,0,0
401.47,0,0,0,0
406.49,0,0,0,0
411.51,0,0,0,0
416.54,0,0,0,0
421.56,0,0,0,0
426.57,0,0,0,0
431.61,0,0,0,0
436.64,0,0,0,0
441.64,0,0,0,0
446.66,0,0,0,0
451.69,0,0,0,0
456.71,0,0,0,0
461.72,0,0,0,0
466.73,0,0,0,0
471.77,0,0,0,0
476.78,0,0,0,0
481.81,0,0,0,0
486.83,0,0,0,0
491.84,0,0,0,0
496.85,0,0,0,0
501.87,0,0,0,0
506.89,0,0,0,0
511.92,0,0,0,0
516.99,0,0,0,0
522.0,0,0,0,0
527.03,0,0,0,0
