timestamp,bool
2.08,True
5.11,True
10.03,True
13.1,True
17.05,False
20.11,True
23.19,False
27.04,True
30.13,False
33.13,True
36.98,True
40.04,True
43.12,False
47.04,True
50.05,False
53.1,False
57.05,True
60.05,True
63.12,True
66.92,False
70.04,True
73.12,False
76.57,False
80.04,False
83.12,True
86.29,False
90.04,True
93.11,True
96.54,True
100.04,True
103.11,True
106.52,False
110.04,True
113.11,True
116.35,True
120.05,False
123.1,False
126.18,True
130.05,False
133.09,True
136.14,False
140.05,True
143.06,False
146.14,False
150.05,True
153.11,False
156.15,True
160.05,False
163.06,True
166.11,True
169.84,False
173.04,True
176.12,True
179.59,True
183.05,False
186.11,True
189.52,False
193.04,True
196.11,True
199.45,True
203.03,False
206.11,True
209.4,True
213.04,False
216.12,False
219.11,False
223.04,True
226.05,False
229.11,True
232.88,False
236.05,False
239.11,False
242.63,False
246.05,False
249.11,True
252.47,True
256.04,False
259.12,True
262.3,False
266.05,True
269.04,True
272.1,False
275.76,False
279.05,True
282.11,True
285.55,True
289.04,False
292.12,False
295.48,True
299.03,True
302.12,True
305.24,True
309.05,True
312.11,True
315.99,False
319.05,False
322.11,False
325.67,False
329.04,False
332.1,False
335.57,False
339.05,False
342.12,True
345.42,True
349.04,True
352.11,True
355.26,True
359.05,True
362.1,True
365.18,False
369.04,True
372.12,False
376.04,True
379.08,False
382.12,True
385.96,False
389.04,False
392.11,True
395.58,False
399.05,False
402.11,True
405.25,False
409.05,True
412.1,True
415.19,True
419.04,False
422.12,False
425.12,True
429.03,True
432.04,False
435.12,True
438.9,True
442.04,False
445.11,True
448.47,False
452.05,False
455.1,True
458.24,True
462.04,False
465.11,False
468.13,False
472.05,True
475.05,True
478.12,False
481.91,True
485.04,True
488.12,False
491.91,False
495.04,True
498.1,True
501.95,True
505.04,True
508.11,False
511.94,False
515.05,False
518.09,False
521.78,True
525.04,True
528.13,False
531.66,True
535.04,True
538.12,False
541.59,True
545.05,True
548.11,True
551.43,False
555.05,True
558.13,False
561.31,False
565.06,True
568.12,False
571.4,False
575.05,True
578.1,True
581.43,True
585.04,True
588.11,True
591.53,False
595.05,False
598.1,False
601.36,True
606.04,False
609.11,False
612.49,True
616.06,False
619.1,True
623.03,True
626.07,True
629.11,True
633.03,False
636.09,False
639.74,False
643.05,False
646.1,False
649.35,True
653.06,False
656.12,True
659.55,False
663.05,False
666.12,False
669.33,False
673.05,False
676.11,True
679.12,True
683.02,False
686.06,False
689.11,True
693.05,True
696.11,False
699.12,False
703.06,False
706.04,False
709.13,True
712.78,True
716.05,True
719.13,True
722.76,True
726.03,True
729.1,False
732.95,False
736.04,True
739.1,True
742.71,True
746.04,True
749.11,False
752.63,False
756.05,True
759.11,True
762.53,False
766.04,True
769.13,False
772.47,False
776.06,True
779.12,True
782.18,False
786.03,False
789.04,True
792.35,False
795.76,True
798.73,True
801.85,False
804.93,False
808.05,True
811.12,True
814.6,False
818.05,True
821.11,True
824.56,True
828.12,False
832.16,False
835.11,False
838.81,True
842.05,False
845.11,False
848.94,True
852.06,True
855.11,False
858.92,False
862.05,False
865.12,False
868.32,True
872.05,False
875.12,False
878.63,True
