timestamp,elapsed_time,action_count
2.35,-1,1
5.38,1,1
10.31,-1,2
13.37,1,2
17.3,-1,3
20.38,1,3
23.47,3.09,3
27.31,-1,4
30.38,1,4
33.4,3.0199999999999996,4
37.25,6.870000000000001,4
40.32,9.940000000000001,4
43.39,13.010000000000002,4
47.31,16.930000000000003,4
50.31,-1,5
53.37,-3.059999999999995,5
57.31,1,5
60.3,2.989999999999995,5
63.38,-1,6
67.17,-3.789999999999999,6
70.32,-6.939999999999991,6
73.37,-9.990000000000002,6
76.79,1,6
80.31,3.519999999999996,6
83.38,-1,7
86.54,-3.160000000000011,7
90.31,-6.930000000000007,7
93.38,-10.0,7
96.79,1,7
100.31,-1,8
103.39,-3.0799999999999983,8
106.81,-6.5,8
110.31,1,8
113.38,3.069999999999993,8
116.62,6.310000000000002,8
120.31,-1,9
123.4,1,9
126.45,3.049999999999997,9
130.3,-1,10
133.41,1,10
136.42,-1,11
140.31,1,11
143.35,3.039999999999992,11
146.42,-1,12
150.29,-3.8700000000000045,12
153.39,1,12
156.41,3.0200000000000102,12
160.31,-1,13
163.35,1,13
166.38,-1,14
170.11,-3.730000000000018,14
173.32,-6.939999999999998,14
176.36,1,14
179.85,3.4899999999999807,14
183.32,6.9599999999999795,14
186.38,10.019999999999982,14
189.78,13.419999999999987,14
193.31,-1,15
196.39,1,15
199.71,-1,16
203.31,-3.5999999999999943,16
206.4,1,16
209.66,-1,17
213.3,1,17
216.4,-1,18
219.39,-2.9899999999999807,18
223.3,-6.900000000000006,18
226.31,1,18
229.39,3.079999999999984,18
233.15,6.840000000000003,18
236.32,10.009999999999991,18
239.37,-1,19
242.89,1,19
246.3,3.410000000000025,19
249.38,-1,20
252.74,-3.3600000000000136,20
256.37,1,20
259.38,-1,21
262.57,1,21
266.31,-1,22
269.3,1,22
272.37,-1,23
276.04,1,23
279.31,-1,24
282.38,1,24
285.83,3.4499999999999886,24
289.31,6.930000000000007,24
292.38,10.0,24
295.74,13.360000000000014,24
299.3,16.920000000000016,24
302.39,-1,25
305.5,1,25
309.33,-1,26
312.41,1,26
316.24,-1,27
319.3,1,27
322.37,-1,28
325.93,1,28
329.31,-1,29
332.37,1,29
335.84,-1,30
339.3,-3.4600000000000364,30
342.38,-6.5400000000000205,30
345.68,1,30
349.3,-1,31
352.38,1,31
355.52,3.1399999999999864,31
359.3,6.920000000000016,31
362.38,10.0,31
365.45,-1,32
369.3,1,32
372.38,-1,33
376.29,1,33
379.34,-1,34
382.38,1,34
386.23,3.8500000000000227,34
389.3,-1,35
392.38,1,35
395.84,3.4599999999999795,35
399.3,6.920000000000016,35
402.38,10.0,35
405.53,13.149999999999977,35
409.3,16.920000000000016,35
412.39,20.00999999999999,35
415.48,23.100000000000023,35
419.31,-1,36
422.42,1,36
425.38,-1,37
429.31,1,37
432.31,-1,38
435.38,-3.069999999999993,38
439.18,-6.8700000000000045,38
442.31,1,38
445.37,3.0600000000000023,38
448.73,-1,39
452.33,1,39
455.38,3.0500000000000114,39
458.5,-1,40
462.34,1,40
465.38,-1,41
468.46,-3.079999999999984,41
472.31,1,41
475.31,-1,42
478.38,1,42
482.17,3.7900000000000205,42
485.31,6.930000000000007,42
488.38,10.0,42
492.15,-1,43
495.31,1,43
498.38,3.069999999999993,43
502.21,6.899999999999977,43
505.32,-1,44
508.37,-3.0500000000000114,44
512.21,1,44
515.32,3.1100000000000136,44
518.39,6.17999999999995,44
522.05,9.839999999999918,44
525.32,13.110000000000014,44
528.39,-1,45
